
[KIMURA] Distance Matrix 8								
*BK001410.1	0.0000	0.0858	0.0117	0.0117	0.0117	0.0117	0.0235	0.0235
*AY350716.1	0.0858	0.0000	0.0713	0.0713	0.0713	0.0713	0.0591	0.0591
*AY350722.1	0.0117	0.0713	0.0000	0.0000	0.0000	0.0000	0.0114	0.0114
*AY350721.1	0.0117	0.0713	0.0000	0.0000	0.0000	0.0000	0.0114	0.0114
*AY350720.1	0.0117	0.0713	0.0000	0.0000	0.0000	0.0000	0.0114	0.0114
*AY350719.1	0.0117	0.0713	0.0000	0.0000	0.0000	0.0000	0.0114	0.0114
*AY350717.1	0.0235	0.0591	0.0114	0.0114	0.0114	0.0114	0.0000	0.0000
*AY350718.1	0.0235	0.0591	0.0114	0.0114	0.0114	0.0114	0.0000	0.0000

[JIN/NEI] Distance Matrix 8								
*BK001410.1	0.0000	0.0904	0.0118	0.0118	0.0118	0.0118	0.0239	0.0239
*AY350716.1	0.0904	0.0000	0.0746	0.0746	0.0746	0.0746	0.0614	0.0614
*AY350722.1	0.0118	0.0746	0.0000	0.0000	0.0000	0.0000	0.0115	0.0115
*AY350721.1	0.0118	0.0746	0.0000	0.0000	0.0000	0.0000	0.0115	0.0115
*AY350720.1	0.0118	0.0746	0.0000	0.0000	0.0000	0.0000	0.0115	0.0115
*AY350719.1	0.0118	0.0746	0.0000	0.0000	0.0000	0.0000	0.0115	0.0115
*AY350717.1	0.0239	0.0614	0.0115	0.0115	0.0115	0.0115	0.0000	0.0000
*AY350718.1	0.0239	0.0614	0.0115	0.0115	0.0115	0.0115	0.0000	0.0000

[MAX. L.] Distance Matrix 8								
*BK001410.1	0.0000	0.0858	0.0117	0.0117	0.0117	0.0117	0.0236	0.0236
*AY350716.1	0.0858	0.0000	0.0714	0.0714	0.0714	0.0714	0.0590	0.0590
*AY350722.1	0.0117	0.0714	0.0000	0.0000	0.0000	0.0000	0.0114	0.0114
*AY350721.1	0.0117	0.0714	0.0000	0.0000	0.0000	0.0000	0.0114	0.0114
*AY350720.1	0.0117	0.0714	0.0000	0.0000	0.0000	0.0000	0.0114	0.0114
*AY350719.1	0.0117	0.0714	0.0000	0.0000	0.0000	0.0000	0.0114	0.0114
*AY350717.1	0.0236	0.0590	0.0114	0.0114	0.0114	0.0114	0.0000	0.0000
*AY350718.1	0.0236	0.0590	0.0114	0.0114	0.0114	0.0114	0.0000	0.0000

[JUKES-CANTOR] Distance Matrix 8								
*BK001410.1	0.0000	0.0862	0.0117	0.0117	0.0117	0.0117	0.0236	0.0236
*AY350716.1	0.0862	0.0000	0.0715	0.0715	0.0715	0.0715	0.0591	0.0591
*AY350722.1	0.0117	0.0715	0.0000	-0.0000	-0.0000	-0.0000	0.0115	0.0115
*AY350721.1	0.0117	0.0715	-0.0000	0.0000	-0.0000	-0.0000	0.0115	0.0115
*AY350720.1	0.0117	0.0715	-0.0000	-0.0000	0.0000	-0.0000	0.0115	0.0115
*AY350719.1	0.0117	0.0715	-0.0000	-0.0000	-0.0000	0.0000	0.0115	0.0115
*AY350717.1	0.0236	0.0591	0.0115	0.0115	0.0115	0.0115	0.0000	-0.0000
*AY350718.1	0.0236	0.0591	0.0115	0.0115	0.0115	0.0115	-0.0000	0.0000
